Name,Awards,Education
Arvind Mithal,0,arvind is the johnson professor of computer science and engineering in the computer science and artificial intelligence laboratory csail at the massachusetts institute of technology mit he is fellow of the institute of electrical and electronics engineers ieee and the association for computing machinery acm he was also elected as member into the national academy of engineering in for contributions to data flow and multi thread computing and the development of tools for the high level synthesis of hardware
Paul Mockapetris,4,mockapetris graduated from the boston latin school in received his bachelor degrees in physics and electrical engineering from the massachusetts institute of technology in and his doctorate in information and computer science from the university of california at irvine in
Cleve Moler,0,he received his bachelor degree from california institute of technology in and ph in from stanford university both in mathematics he worked for charles lawson at the jet propulsion laboratory in and
Faron Moller,0,university of edinburgh phd
John P. Moon,0,moon was born in philadelphia on july his father perry moon was construction worker who often answered john questions about how things work john spent his time building model cars in the family basement where he assembled and took apart electronic devices since he worked so well with his hands he was quick at repairing things like radios earning him the nickname fix it boy which was given to him by his neighbors
Edward F. Moore,0,moore received in chemistry from the virginia polytechnic institute in blacksburg virginia in and ph in mathematics from brown university in providence rhode island in june he worked at the university of illinois at urbana champaign from to and was visiting professor at mit and visiting lecturer at harvard university simultaneously in he worked at bell labs from to after that he was professor at the university of wisconsin madison from until he retired in
Gordon Moore,0,gordon earle moore born january is an american businessman engineer and the co founder and chairman emeritus of intel corporation he is also the original proponent of moore law
Robert Tappan Morris,0,morris was prosecuted for releasing the worm and became the first person convicted under the then new computer fraud and abuse act cfaa he went on to cofound the online store viaweb one of the first web applications and later the venture capital funding firm combinator both with paul graham
Joel Moses,0,joel moses november may was an israeli american mathematician computer scientist and institute professor at the massachusetts institute of technology mit
Rajeev Motwani,7,rajeev motwani was born in jammu jammu and kashmir india on march into sindhi hindu family and grew up in new delhi his father was in the indian army he had two brothers as child inspired by luminaries like gauss he wanted to become mathematician motwani went to st columba school new delhi he completed his tech in computer science from the indian institute of technology kanpur in kanpur uttar pradesh in and got his ph in computer science from the university of california berkeley in berkeley california united states in under the supervision of richard karp
Oleg A. Mukhanov,0,mukhanov earned his bachelor degree at the national research nuclear university moscow engineering physics institute and his in electrical engineering with honors there in he earned his ph in physics from moscow state university in
Stephen Muggleton,4,stephen muggleton fbcs fiet faaai feccai fsb freng born december son of louis muggleton is professor of machine learning and head of the computational bioinformatics laboratory at imperial college london
Klaus-Robert Müller,1,klaus robert müller born in karlsruhe germany is german computer scientist and physicist most noted for his work in machine learning and brain computer interfaces
Alan Mycroft,0,alan mycroft is professor at the computer laboratory university of cambridge and fellow of robinson college cambridge where he is also director of studies for computer science
Brad A. Myers,0,brad allan myers is professor in the human computer interaction institute at carnegie mellon university he earned his phd in computer science at the university of toronto in under bill buxton
Mihai Nadin,0,currently mihai nadin is professor at the university of texas at dallas appointed to the ashbel smith professorship in interactive arts technology and computer science he is director of the institute for research in anticipatory systems nadin is also member of the computer science advisory board of university of the people
Makoto Nagao,0,born in mie prefecture japan makoto nagao graduated from kyoto university in and received master degree in engineering in and ph in engineering in from the university in kyoto university he became an assistant professor in an associate professor in and professor in he served as the rd president of kyoto university after retirement from the university he was appointed to the director of national diet library in and held the position until
Peter Naur,0,peter naur october january was danish computer science pioneer and turing award winner he is best remembered as contributor with john backus to the backus naur form bnf notation used in describing the syntax for most programming languages he also contributed to creating the language algol
Roger Needham,0,roger michael needham cbe frs freng february march was british computer scientist
James G. Nell,0,nell received his bachelor of science in electrical engineering bsee from drexel university and his mba from bowling green state university
Greg Nelson,0,nelson grew up in honolulu as boy he excelled at gymnastics and tennis he attended the university laboratory school he received his degree in mathematics from harvard university in he received his ph in computer science from stanford university in under the supervision of robert tarjan he lived in juneau alaska for year before settling permanently in the san francisco bay area
Klara Dan von Neumann,0,klára dán von neumann born klára dán august november was hungarian american self taught computer scientist noted as one of the first computer programmers
Max Newman,0,maxwell herman alexander newman frs february february generally known as max newman was british mathematician and codebreaker his work in world war ii led to the construction of colossus the world first operational programmable electronic computer and he established the royal society computing machine laboratory at the university of manchester which produced the world first working stored program electronic computer in the manchester baby
Andrew Ng,8,andrew yan tak ng chinese 吳恩達 born is british born american computer scientist and technology entrepreneur focusing on machine learning and ai ng was co founder and head of google brain and was the former chief scientist at baidu building the company artificial intelligence group into team of several thousand people
Nils John Nilsson,0,nilsson was born in saginaw michigan in he received his ph from stanford in and spent much of his career at sri international private research lab spun off from stanford
G.M. Nijssen,0,gerardus maria sjir nijssen born october schinnen is dutch computer scientist former professor of computer science at the university of queensland consultant and author nijssen is considered the founder of verbalization in computer science and one of the founders of business modeling and information analysis based on natural language
Tobias Nipkow,0,nipkow received his diplom msc in computer science from the department of computer science of the technische hochschule darmstadt in and his ph from the university of manchester in
Maurice Nivat,7,nivat was born in clermont ferrand france his parents were high school teachers his father taught languages while his mother taught mathematics his sister aline became notable mathematician in nivat moved with his family to paris nivat was admitted to the école normale supérieure in but began working at the blaise pascal institute of the french national centre for scientific research newly established computing laboratory in he returned to study mathematics in under the supervision of marcel paul schützenberger his thesis was entitled transductions des langages de chomsky transductions of chomsky languages
Phiwa Nkambule,3,phiwa nkambule born january is technology entrepreneur technology businessperson and internet activist best known for co founding riovic and leading it as its ceo he previously founded cybatar and sat on the board of the royal science and technology park
Jerre Noe,0,noe was born in mccloud california he received bachelor degree in electrical engineering from the university of california berkeley stationed in europe during world war ii he conducted research and development related to radar before returning to california to complete ph in electrical engineering at stanford university
Peter Norvig,2,peter norvig born december is an american computer scientist and distinguished education fellow at the stanford institute for human centered ai he previously served as director of research and search quality at google norvig is the co author with stuart russell of the most popular textbook in the field of ai artificial intelligence modern approach used in more than universities in countries
George Novacky,0,george novacky was an assistant department chair and senior lecturer in computer science and an assistant dean of cas for undergraduate studies at the university of pittsburgh
Peter O'Hearn,9,peter william hearn frs freng born july in halifax nova scotia formerly research scientist at meta is distinguished engineer at lacework and professor of computer science at university college london ucl he has made significant contributions to formal methods for program correctness in recent years these advances have been employed in developing industrial software tools that conduct automated analysis of large industrial codebases
T. William Olle,0,bill olle was educated at boston grammar school he received an sc degree in and ph degree in both in astrophysics at the university of manchester which involved extensive programming work on the manchester university electronic computer
Steve Omohundro,0,omohundro has degrees in physics and mathematics from stanford university phi beta kappa and ph in physics from the university of california berkeley
John O'Sullivan,0,in the early sullivan led team at the csiro which patented in the use of related technique for reducing multipath interference of radio signals transmitted for computer networking this technology is part of all recent wifi implementations as of april the csiro has earned over million in royalties and settlements arising from the use of this patent as part of the standards with as much as billion dollars expected after further lawsuits against other parties
Larry Page,0,lawrence edward page born march is an american business magnate computer scientist and internet entrepreneur he is best known for co founding google with sergey brin
Sankar Pal,0,sankar kumar pal born is computer scientist and former director of the indian statistical institute kolkata he is computer scientist with an international reputation on fuzzy neural network soft computing and machine intelligence he founded the machine intelligence unit in and the center for soft computing research national facility in both at the isi he is the founder president of the indian national academy of engineering kolkata chapter
Christos Papadimitriou,5,papadimitriou studied at the national technical university of athens where in he received his bachelor of arts degree in electrical engineering he then pursued graduate studies at princeton university where he received his ph in electrical engineering and computer science in after completing doctoral dissertation titled the complexity of combinatorial optimization problems
David Parnas,0,david lorge parnas born february is canadian early pioneer of software engineering who developed the concept of information hiding in modular programming which is an important element of object oriented programming today he is also noted for his advocacy of precise documentation
DJ Patil,0,dhanurjay dj patil born august is an american mathematician and computer scientist who served as the chief data scientist of the united states office of science and technology policy from to he is the head of technology for devoted health he previously served as the vice president of product at relateiq which was acquired by salesforce com as chief product officer of color labs and as head of data products and chief scientist of linkedin his father suhas patil is venture capitalist and the founder of cirrus logic
David Patterson,6,patterson is noted for his pioneering contributions to reduced instruction set computer risc design having coined the term risc and by leading the berkeley risc project as of of all new chips use risc architecture he is also noted for leading the research on redundant arrays of inexpensive disks raid storage with randy katz
Lawrence Paulson,1,lawrence charles paulson frs born is an american computer scientist he is professor of computational logic at the university of cambridge computer laboratory and fellow of clare college cambridge
Juan Pavón,0,juan pavón born november is spanish computer scientist full professor of the complutense university of madrid ucm he is pioneer researcher in the field of software agents co creator of the fipa message and ingenias methodologies and founder and director of the research group grasia group of agent based social and applications at ucm he is known for his work in the field of artificial intelligence specifically in agent oriented software engineering
Judea Pearl,0,judea pearl born september is an israeli american computer scientist and philosopher best known for championing the probabilistic approach to artificial intelligence and the development of bayesian networks see the article on belief propagation he is also credited for developing theory of causal and counterfactual inference based on structural models see article on causality in the association for computing machinery acm awarded pearl with the turing award the highest distinction in computer science for fundamental contributions to artificial intelligence through the development of calculus for probabilistic and causal reasoning he is the author of several books including the technical causality models reasoning and inference and the book of why book on causality aimed at the general public
Alan Perlis,2,perlis was born to jewish family in pittsburgh pennsylvania he graduated from taylor allderdice high school in in he received his bachelor degree in chemistry from the carnegie institute of technology later renamed carnegie mellon university
Radia Perlman,9,radia joy perlman ˈreɪdiə born december is an american computer programmer and network engineer she is major figure in assembling the networks and technology to enable what we now know as the internet she is most famous for her invention of the spanning tree protocol stp which is fundamental to the operation of network bridges while working for digital equipment corporation thus earning her nickname mother of the internet her innovations have made huge impact on how networks self organize and move data she also made large contributions to many other areas of network design and standardization for example enabling today link state routing protocols to be more robust scalable and easy to manage
Pier Giorgio Perotto,0,graduated at the turin polytechnic perotto taught for many years at the same university and published several books and articles regarding strategy business organization and technology
Rózsa Péter,0,rózsa péter born rózsa politzer february february was hungarian mathematician and logician she is best known as the founding mother of recursion theory
Simon Peyton Jones,2,simon peyton jones obe frs mae born january is british computer scientist who researches the implementation and applications of functional programming languages particularly lazy functional programming
Kathy Pham,0,pham is fellow and faculty member at the harvard kennedy school where she created and teaches product management and society she has held positions as fellow at mozilla fellow at the rita allen foundation and fellow at the harvard berkman klein center where she co founded the ethical tech group and was part of the ethics and governance of artificial intelligence fellows in partnership with the mit media lab at mozilla pham co leads the responsible computer science challenge and co founded the mozilla fix the internet incubator pham founded product and society which focuses on product management ethics and the public interest pham has been part of championship starcraft ii team and placed st the imagine cup competition representing the united states with sentiment analysis emotionai engine
Roberto Pieraccini,0,he obtained degree in electrical engineering from the university of pisa in with thesis on the equalization of data channels
Gordon Plotkin,3,gordon david plotkin frs frse mae born september is theoretical computer scientist in the school of informatics at the university of edinburgh plotkin is probably best known for his introduction of structural operational semantics sos and his work on denotational semantics in particular his notes on structural approach to operational semantics were very influential citation needed he has contributed to many other areas of computer science
Amir Pnueli,0,pnueli was born in nahalal in the british mandate of palestine now in israel and received bachelor degree in mathematics from the technion in haifa and ph in applied mathematics from the weizmann institute of science his thesis was on the topic of calculation of tides in the ocean he switched to computer science during stint as post doctoral fellow at stanford university his works in computer science focused on temporal logic and model checking particularly regarding fairness properties of concurrent systems
Willem van der Poel,0,willem louis van der poel december the hague is pioneering dutch computer scientist who is known for designing one of the first computers to be designed in the netherlands the zeer eenvoudige binaire reken automaat zebra translated as very simple binary automatic calculator
Cicely Popplewell,0,cicely mary williams née popplewell october june was british software engineer who worked with alan turing on the manchester mark computer
Emil Post,0,post was born in augustów suwałki governorate congress poland russian empire now poland into polish jewish family that immigrated to new york city in may his parents were arnold and pearl post
Jon Postel,0,jonathan bruce postel pəˈstɛl august october was an american computer scientist who made many significant contributions to the development of the internet particularly with respect to standards he is known principally for being the editor of the request for comment rfc document series for simple mail transfer protocol smtp and for administering the internet assigned numbers authority iana until his death during his lifetime he was referred to as the god of the internet for his comprehensive influence postel himself noted that this compliment came with barb the suggestion that he should be replaced by professional and responded with typical self effacing matter of factness of course there isn any god of the internet the internet works because lot of people cooperate to do things together
Rapelang Rabana,0,rapelang rabana is computer scientist entrepreneur and keynote speaker she is currently the founder and chair of rekindle learning learning technology company and previously co founded yeigo communications south africa first free voip mobile services provider
Grzegorz Rozenberg,0,his primary research areas are natural computing formal language and automata theory graph transformations and concurrent systems he is referred to as the guru of natural computing as he was promoting the vision of natural computing as coherent scientific discipline already in the gave this discipline its current name and defined its scope
Michael O. Rabin,10,rabin was born in in breslau germany today wrocław in poland the son of rabbi in he emigrated with his family to mandate palestine as young boy he was very interested in mathematics and his father sent him to the best high school in haifa where he studied under mathematician elisha netanyahu who was then high school teacher
T. V. Raman,0,raman born may is computer scientist who specializes in accessibility research his research interests are primarily in the areas of auditory user interfaces and structured electronic documents he has worked on speech interaction and markup technologies in the context of the world wide web at digital cambridge research lab crl adobe systems and ibm research he currently works at google research raman has himself been partially sighted since birth and blind since the age of
Brian Randell,0,brian randell born is british computer scientist and emeritus professor at the school of computing newcastle university united kingdom he specialises in research into software fault tolerance and dependability and is noted authority on the early pre history of computing hardware
Raj Reddy,6,dabbala rajagopal raj reddy born june is an indian american computer scientist and winner of the turing award he is one of the early pioneers of artificial intelligence and has served on the faculty of stanford and carnegie mellon for over years he was the founding director of the robotics institute at carnegie mellon university he was instrumental in helping to create rajiv gandhi university of knowledge technologies in india to cater to the educational needs of the low income gifted rural youth he is the chairman of international institute of information technology hyderabad he is the first person of asian origin to receive the turing award in known as the nobel prize of computer science for his work in the field of artificial intelligence
Joyce K. Reynolds,0,reynolds held bachelor and master degrees in social sciences from the university of southern california
Adam Riese,0,almost nothing is known about ries childhood youth and education the exact year of his birth is not known the caption on the only known contemporary portrait of the mathematician reads anno adam ries seins alters im lviii so apparently he was in his th year of age at the time of the picture which was made in from this it can be deduced that he was born in or
Ron Rivest,5,rivest is one of the inventors of the rsa algorithm along with adi shamir and len adleman he is the inventor of the symmetric key encryption algorithms rc rc rc and co inventor of rc the rc stands for rivest cipher or alternatively ron code rc was broken at rsa security during development similarly rc was never published he also authored the md md md and md cryptographic hash functions
Colette Rolland,0,in she studied applied mathematics at the university of nancy where she received her phd in in she was appointed professor at the university of nancy department of computer science in she became professor at university of paris pantheon sorbonne department of mathematics and informatics she has been involved in large number of european research projects and used to lead cooperative research projects with companies she is currently professor emeritus of computer science in the department of mathematics and informatics
John Romero,0,romero was born on october six weeks premature in colorado springs colorado when asked about his background romero claimed that one grandparent was yaqui another mexican and another cherokee his mother ginny met alfonso antonio romero when they were teenagers in tucson arizona alfonso first generation mexican american was maintenance man at an air force base spending his days fixing air conditioners and heating systems after alfonso and ginny got married they headed in chrysler with three hundred dollars to colorado hoping their interracial relationship would thrive in more tolerant surroundings
Douglas T. Ross,0,ross was born in china where his parents both worked as medical missionaries and he then grew up in the united states in canandaigua new york he received bachelor of science sc cum laude in mathematics from oberlin college in and master of science sc in electrical engineering from the massachusetts institute of technology mit in afterward he began but didn finish his ph at mit due to his pressing work as head of mit computer applications group
M. A. Rothman,0,his debut novel an epic fantasy young adult story titled heirs of prophecy was published in since then he has written several novels in the hard science fiction epic fantasy techno thriller and dystopia genres three of his novels have appeared on the usa today bestseller list
Winston W. Royce,0,born in royce entered the california institute of technology where he received his bs in physics his ms in aeronautical engineering and in his phd in aeronautical engineering under julian david cole with the thesis transonic flow over non lifting slender body of revolution
Rudy Rucker,0,rudolf von bitter rucker ˈrʌkər born march is an american mathematician computer scientist science fiction author and one of the founders of the cyberpunk literary movement the author of both fiction and non fiction he is best known for the novels in the ware tetralogy the first two of which software and wetware both won philip dick awards until its closure in he edited the science fiction webzine flurb
Jeff Rulifson,1,johns frederick rulifson was born august in bellefontaine ohio his father was erwin charles rulifson and mother was virginia helen johns rulifson married janet irving on june and had two children he received in mathematics from the university of washington in rulifson earned ph in computer science from stanford university in
James Rumbaugh,0,born in bethlehem pennsylvania rumbaugh received in physics from the massachusetts institute of technology mit an in astronomy from the california institute of technology caltech and received ph in computer science from mit under professor jack dennis
Peter Ružička,0,ruzicka graduated from comenius university in bratislava in in he received his ph degree in mathematical and computer science from czechoslovak academy of sciences in prague he was awarded his doctorate dr rer nat in mathematical informatics and theoretical cybernetics from comenius university in bratislava in
George Sadowsky,0,george sadowsky born september is an american computer scientist who has worked in number of entities related to promotion of the internet worldwide
Umar Saif,0,umar saif urdu عمر سیف born is pakistani computer scientist and academic he is currently serving as ceo of surveyauto chief digital officer of the jang group and the chief investment officer of khudi ventures he is also serving as an advisor to the united nations development programme in pakistan
Jean E. Sammet,7,jean sammet march may was an american computer scientist who developed the formac programming language in she was also one of the developers of the influential cobol programming language
Carl Sassenrath,0,in the late his family relocated from the san francisco bay area to the small town of eureka california from his early childhood sassenrath was actively involved in electronics amateur radio photography and filmmaking when he was sassenrath began working for keet pbs public broadcasting television station year later he became cameraman for kviq american broadcasting company affiliate then and worked his way up to being technical director and director for news commercials and local programming
Mahadev Satyanarayanan,0,he is credited with many advances in edge computing distributed systems mobile computing pervasive computing and internet of things his research focus is around performance scalability availability and trust challenges in computing systems from the cloud to the mobile edge
Jonathan Schaeffer,2,he led the team that wrote chinook the world strongest american checkers player after some relatively good results in writing computer chess programs he is involved in the university of alberta games group developing computer poker systems schaeffer is also member of the research group that created polaris program designed to play the texas hold em variant of poker he is founder of onlea which produces online learning experiences
Wilhelm Schickard,0,hammer asserted that because these letters had been lost for three hundred years blaise pascal had been called and celebrated as the inventor of the mechanical calculator in error during all this time
Steve Schneider,0,steve schneider fbcs citp is an english computer scientist and professor of security he is director of the surrey centre for cyber security and associate dean research and enterprise at the university of surrey
Bruce Schneier,0,bruce schneier ˈʃnaɪ ər born january is an american cryptographer computer security professional privacy specialist and writer schneier is lecturer in public policy at the harvard kennedy school and fellow at the berkman klein center for internet society as of november he is board member of the electronic frontier foundation access now and the tor project and an advisory board member of electronic privacy information center and verifiedvoting org he is the author of several books on general security topics computer security and cryptography and is squid enthusiast
Sarita Schoenebeck,0,schoenebeck is from california she was an undergraduate student in engineering at dartmouth college as an undergraduate student played tennis and earned first team all ivy honours three times she moved to the university of california berkeley for her graduate studies where she completed master in information management she was selected as the uc berkeley school of information class speaker schoenebeck was doctoral researcher at georgia tech where she studied ways that parents could support young people use of social media
Glenda Schroeder,0,glenda schroeder is an american software engineer noted for implementing the first command line user interface shell and publishing one of the earliest research papers describing electronic mail systems while working as member of the staff at the mit computation center in
Robert Sedgewick,0,sedgewick was born on december in willimantic connecticut during his childhood he lived in storrs connecticut where his parents charles hill wallace sedgewick and rose whelan sedgewick were professors at the university of connecticut
Nigel Shadbolt,0,sir nigel richard shadbolt frs freng citp ceng fbcs cpsychol born april is principal of jesus college oxford and professorial research fellow in the department of computer science university of oxford he is chairman of the open data institute which he co founded with tim berners lee he is also visiting professor in the school of electronics and computer science at the university of southampton shadbolt is an researcher policy expert and commentator his research focuses on understanding how intelligent behaviour is embodied and emerges in humans machines and most recently on the web and has made contributions to the fields of psychology cognitive science computational neuroscience artificial intelligence ai computer science and the emerging field of web science
Adi Shamir,6,born in tel aviv shamir received bachelor of science bsc degree in mathematics from tel aviv university in and obtained his master of science msc and doctor of philosophy phd degrees in computer science from the weizmann institute in and respectively
Claude Shannon,10,claude elwood shannon april february was an american mathematician electrical engineer and cryptographer known as father of information theory
David E. Shaw,0,shaw was raised in los angeles california his father was theoretical physicist who specialised in plasma and fluid flows and his mother is an artist and educator they divorced when he was his stepfather irving pfeffer was professor of finance at university of california los angeles and the author of papers supporting the efficient market hypothesis
Scott Shenker,0,over his career shenker has made research contributions in the areas of energy efficient processor scheduling resource sharing and software defined networking in he received the sigcomm award in recognition of his contributions to internet design and architecture to fostering research collaboration and as role model for commitment and intellectual rigor in networking research
Ben Shneiderman,0,ben shneiderman born august is an american computer scientist distinguished university professor in the university of maryland department of computer science which is part of the university of maryland college of computer mathematical and natural sciences at the university of maryland college park and the founding director of the university of maryland human computer interaction lab he conducted fundamental research in the field of human computer interaction developing new ideas methods and tools such as the direct manipulation interface and his eight rules of design
Daniel Siewiorek,0,daniel siewiorek is an american computer engineer and computer scientist currently the buhl university professor emeritus of electrical and computer engineering and computer science at carnegie mellon university
Joseph Sifakis,10,joseph sifakis greek ιωσήφ σηφάκης is greek french computer scientist he received the turing award along with edmund clarke and allen emerson for his work on model checking
Herbert A. Simon,10,notably simon was among the pioneers of several modern day scientific domains such as artificial intelligence information processing decision making problem solving organization theory and complex systems he was among the earliest to analyze the architecture of complexity and to propose preferential attachment mechanism to explain power law distributions
Munindar P. Singh,0,munindar singh is an alumni distinguished graduate professor and full professor in the department of computer science at north carolina state university singh is an ieee fellow aaai fellow aaas fellow an acm fellow member of academia europaea and acm sigai autonomous agents research award recipient
Ramesh Sitaraman,0,ramesh sitaraman received tech in electrical engineering from the indian institute of technology madras and ph in computer science from princeton university under robert tarjan he helped build akamai high performance network for delivering web and media content and is an akamai fellow currently he is distinguished professor in the computer science department at university of massachusetts amherst
Aaron Sloman,0,aaron sloman is philosopher and researcher on artificial intelligence and cognitive science he held the chair in artificial intelligence and cognitive science at the school of computer science at the university of birmingham and before that chair with the same title at the university of sussex since retiring he is honorary professor of artificial intelligence and cognitive science at birmingham he has published widely on philosophy of mathematics epistemology cognitive science and artificial intelligence he also collaborated widely with biologist jackie chappell on the evolution of intelligence
Arne Sølvberg,0,sølvberg was born at klepp in southwestern norway he was the eldest of five with three brothers and sister he received sc in applied physics in from the norwegian institute of technology now the norwegian university of science and technology ntnu in at nth he received ph in computer science with the thesis matematiske metoder for generering og oppfølging av kortsiktige salgsprognoser under the guidance of börje langefors born professor of business information systems at stockholm university he had received the first doctoral degree in computer science at trondheim
Brian Cantwell Smith,0,his research has focused on the foundations and philosophy of computing both in the practice and theory of computer science and in the use of computational metaphors in other fields such as philosophy cognitive science physics and art he is currently professor of information computer science and philosophy at university of toronto
Steven Spewak,0,born in philadelphia spewak earned both his and his degree at case western reserve university and earned his ph in business administration at the university of michigan in with the thesis analysis of dynamics of the logical design of information systems
Rohini Kesavan Srihari,0,rohini kesavan srihari is an american computer scientist and entrepreneur she is the founder and ceo of content savvy inc high technology company in western new york prior to this she founded cymfony inc which specializes in brand analytics she also founded cymfony net private limited in bangalore india she also holds position as professor in the department of computer science and engineering of the university at buffalo buffalo new york usa
Sargur Srihari,1,sargur narasimhamurthy srihari may march was an indian and american computer scientist and educator who made contributions to the field of pattern recognition the principal impact of his work has been in handwritten address reading systems and in computer forensics he was suny distinguished professor in the school of engineering and applied sciences at the university at buffalo buffalo new york usa
Maciej Stachowiak,0,after graduating from east high school rochester new york in stachowiak was accepted into mit where he completed course electrical engineering and computer science and received both his and eng in
Richard Stallman,5,richard matthew stallman ˈstɔːlmən born march also known by his initials rms is an american free software movement activist and programmer he campaigns for software to be distributed in such manner that its users have the freedom to use study distribute and modify that software software that ensures these freedoms is termed free software stallman launched the gnu project founded the free software foundation fsf in october developed the gnu compiler collection and gnu emacs and wrote the gnu general public license
Ronald Stamper,0,born in west bridgford united kingdom stamper obtained his ma in mathematics and statistics at oxford university in
"Guy L. Steele, Jr.",2,steele was born in missouri and graduated from the boston latin school in he received bachelor of arts in applied mathematics from harvard university and master degree and doctor of philosophy ph from massachusetts institute of technology mit in computer science he then worked as an assistant professor of computer science at carnegie mellon university and compiler implementer at tartan laboratories then he joined the supercomputer company thinking machines where he helped define and promote parallel computing version of the lisp programming language named lisp star lisp and parallel version of the language named
Thomas Sterling,0,hybrid technology multi threaded architecture parallex execution model hpx runtime system continuum computer architecture
W. Richard Stevens,0,richard stevens was born in in luanshya northern rhodesia now zambia where his father worked for the copper industry the family later moved to salt lake city hurley new mexico washington and phalaborwa south africa stevens attended fishburne military school in waynesboro virginia he received bachelor degree in aerospace engineering from the university of michigan in and both master degree in and phd in in systems engineering from the university of arizona he moved to tucson in where he was employed at kitt peak national observatory as computer programmer until from until he was vice president of computing services at health systems international in new haven connecticut stevens moved back to tucson in where he pursued his career as an author and consultant he was also an avid pilot and part time flight instructor during the
Salvatore Stolfo,0,born in brooklyn new york stolfo received bachelor of science degree in computer science and mathematics from brooklyn college in he received his ph from nyu courant institute in and has been on the faculty of columbia ever since where he taught courses in artificial intelligence intrusion and anomaly detection systems introduction to programming fundamental algorithms data structures and knowledge based expert systems
Michael Stonebraker,0,stonebraker career can be broadly divided into two phases his time at university of california berkeley when he focused on relational database management systems such as ingres and postgres and at massachusetts institute of technology mit where he developed more novel data management techniques such as store store and scidb stonebraker is currently professor emeritus at uc berkeley and an adjunct professor at mit computer science and artificial intelligence laboratory he is also known as an editor for the book readings in database systems
Olaf Storaasli,0,storaasli received in physics mathematics french concordia college in mathematics usd ph in engineering mechanics ncsu and post doc fellowships ntnu university of edinburgh
Christopher Strachey,0,christopher strachey ˈstreɪtʃi november may was british computer scientist he was one of the founders of denotational semantics and pioneer in programming language design and computer time sharing he has also been credited as possibly being the first developer of video game he was member of the strachey family prominent in government arts administration and academia
Volker Strassen,0,for important contributions to the analysis of algorithms he has received many awards including the cantor medal the konrad zuse medal the paris kanellakis award for work on randomized primality testing the knuth prize for seminal and influential contributions to the design and analysis of efficient algorithms
Bjarne Stroustrup,11,bjarne stroustrup ˈbjɑːrnə ˈstraʊstrʊp danish ˈbjaːnə ˈstʁʌwˀstʁɔp born december is danish computer scientist most notable for the invention and development of the programming language as of july stroustrup is professor of computer science at columbia university
Madhu Sudan,0,madhu sudan born september is an indian american computer scientist he has been gordon mckay professor of computer science at the harvard john paulson school of engineering and applied sciences since
Gerald Jay Sussman,0,sussman attended the massachusetts institute of technology as an undergraduate and received his in mathematics in he continued his studies at mit and obtained ph in also in mathematics under the supervision of seymour papert his doctoral thesis was titled computational model of skill acquisition focusing on artificial intelligence and machine learning using computational performance model named hacker
Ivan Sutherland,15,sutherland father was from new zealand his mother was from scotland his family moved to wilmette illinois then scarsdale new york for his father career bert sutherland was his elder brother ivan sutherland earned his bachelor degree in electrical engineering from the carnegie institute of technology his master degree from caltech and his ph from mit in eecs in citation needed
Latanya Sweeney,0,sweeney is the former chief technologist of the federal trade commission and editor in chief of technology science her best known academic work is on the theory of anonymity and she is credited with the observation that of the population is uniquely identified by date of birth gender postal code
Parisa Tabriz,0,parisa tabriz is an iranian american computer security expert who works for google as vice president of engineering she chose the title security princess on her business card
Andrew S. Tanenbaum,22,andrew stuart tanenbaum born march sometimes referred to by the handle ast is an american dutch computer scientist and professor emeritus of computer science at the vrije universiteit amsterdam in the netherlands
Austin Tate,0,austin tate freng frse is emeritus professor of knowledge based systems in the school of informatics at the university of edinburgh from to he was director of aiai artificial intelligence applications institute in the school of informatics at the university of edinburgh
Bernhard Thalheim,0,born in radebeul near dresden germany thalheim received his sc in mathematics and computer science in at the dresden university of technology his phd in discrete mathematics in at the lomonosov moscow state university and his habilitation in theoretical computer science in at the dresden university of technology
Éva Tardos,0,tardos research interest is algorithms her work focuses on the design and analysis of efficient methods for combinatorial optimization problems on graphs or networks she has done some work on network flow algorithms like approximation algorithms for network flows cut and clustering problems her recent work focuses on algorithmic game theory and simple auctions
Gábor Tardos,1,gábor tardos received his phd in mathematics from eötvös university budapest in his counsellors were lászló babai and péter pálfy he held postdoctoral posts at the university of chicago rutgers university university of toronto and the princeton institute for advanced study from to he served as canada research chair of discrete and computational geometry at simon fraser university he then returned to budapest to the alfréd rényi institute of mathematics where he has served as research fellow since
Robert Tarjan,0,he was born in pomona california his father raised in hungary was child psychiatrist specializing in mental retardation and ran state hospital as child tarjan read lot of science fiction and wanted to be an astronomer he became interested in mathematics after reading martin gardner mathematical games column in scientific american he became seriously interested in math in the eighth grade thanks to very stimulating teacher
Valerie Taylor,0,valerie elaine taylor was born may in chicago illinois taylor received her bachelor and master degrees in electrical engineering from purdue university in and respectively
Jaime Teevan,1,teevan received in computer science from yale university and ph and from mit
Shang-Hua Teng,0,teng was born in china in his father dr teng zhanhong was professor of civil engineering at the taiyuan university of technology his mother li guixin was an administrator at the same university
Larry Tesler,0,lawrence gordon tesler april february was an american computer scientist who worked in the field of human computer interaction tesler worked at xerox parc apple amazon and yahoo
Avie Tevanian,0,tevanian is from westbrook maine he is of armenian descent tevanian cloned the arcade game missile command giving it the same name in version for the xerox alto and mac missiles for the macintosh platform he has in mathematics from the university of rochester and and ph degrees in computer science from carnegie mellon university there he was principal designer and engineer of the mach operating system
